01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D22;Vwz_D22;Bel_D81;Vwz_D81;Bel_TBS32;Vwz_TBS32;Bel_TBS35;Vwz_TBS35;Bel_TBS38;Vwz_TBS38;Bel_TBS41;Vwz_TBS41;Bel_TF32;Vwz_TF32;Bel_TF35;Vwz_TF35;Bel_TF38;Vwz_TF38;Bel_TF41;Vwz_TF41;Bel_V111;Vwz_V111;Bel_V112;Vwz_V112;Bel_V23;Vwz_V23;Bel_V24;Vwz_V24;Bel_V51;Vwz_V51;Bel_V82;Vwz_V82;Bel_VK1_Stoer;Vwz_VK1_Stoer;Bel_VK2_Stoer;Vwz_VK2_Stoer;Bel_VK3_Stoer;Vwz_VK3_Stoer;Bel_VK4_Stoer;Vwz_VK4_Stoer
03.06.2020 09:00;87;1420800;71;1253400;40;442200;2;1200;4;3000;2;1800;6;6000;3;1800;19;15000;1;600;17;13200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 10:00;87;1383000;102;1383600;61;579600;9;6600;7;4800;0;0;2;1800;11;7800;16;12000;0;0;18;16200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 11:00;101;1374000;117;1530000;64;601200;3;3600;2;2400;2;3600;6;8400;4;3000;22;17400;1;600;14;10200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 12:00;107;1461000;116;1616400;52;328800;14;18000;11;13800;1;1200;5;4200;10;8400;19;13800;0;0;21;19200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 13:00;83;1505400;115;1666200;68;870600;6;6600;6;4800;4;4800;4;3600;8;7200;29;23400;3;2400;21;18000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 14:00;142;1494600;131;1936800;68;524400;4;3000;4;3000;0;0;7;7800;10;6600;20;20400;1;600;28;23400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 15:00;146;1907400;131;2035800;73;630600;6;4200;2;1200;2;3000;17;20400;7;5400;13;10800;1;600;35;29400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 16:00;121;1722600;168;2331000;80;807600;5;5400;3;2400;2;1200;18;23400;10;7800;22;17400;3;2400;39;34800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 17:00;122;2045400;120;2019000;59;877800;3;1800;1;1800;2;1800;0;0;5;3000;27;19800;10;9000;17;12600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 18:00;77;1333200;111;1986600;75;741000;3;1800;3;2400;1;600;6;10200;8;6600;20;16200;1;1800;41;36600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
